County/Region,Year,Population,Index Total Count,Index Total Rate,Violent Total Count,Violent Total Rate,Murder Count,Murder Rate,Rape Count,Rape Rate,Robbery Count,Robbery Rate,Agg Assault Count,Agg Assault Rate,Property Total Count,Property Total Rate,Burglary Count,Burglary Rate,Larceny Count,Larceny Rate,MV Theft Count,MV Theft Rate,State
Allegany County,2000,74930,2378,3173.6,271,361.7,2,2.7,24,32.0,21,28.0,224,298.9,2107,2812.0,421,561.9,1562,2084.6,124,165.5,MD
Allegany County,2001,76043,2670,3511.2,320,420.8,1,1.3,22,28.9,29,38.1,268,352.4,2350,3090.4,426,560.2,1805,2373.7,119,156.5,MD
Allegany County,2002,77216,2368,3066.7,235,304.3,0,0.0,26,33.7,22,28.5,187,242.2,2133,2762.4,487,630.7,1557,2016.4,89,115.3,MD
Allegany County,2003,74893,2541,3392.8,262,349.8,1,1.3,22,29.4,31,41.4,208,277.7,2279,3043.0,555,741.1,1631,2177.8,93,124.2,MD
Allegany County,2004,74325,2349,3160.4,325,437.3,0,0.0,23,30.9,27,36.3,275,370.0,2024,2723.2,488,656.6,1481,1992.6,55,74.0,MD
Allegany County,2005,74434,2308,3100.7,260,349.3,1,1.3,30,40.3,15,20.2,214,287.5,2048,2751.4,460,618.0,1531,2056.9,57,76.6,MD
Allegany County,2006,73841,2493,3376.2,282,381.9,1,1.4,29,39.3,37,50.1,215,291.2,2211,2994.3,542,734.0,1586,2147.9,83,112.4,MD
Allegany County,2007,71977,2521,3502.5,262,364.0,0,0.0,20,27.8,35,48.6,207,287.6,2259,3138.5,536,744.7,1631,2266.0,92,127.8,MD
Allegany County,2008,71806,2463,3430.1,240,334.2,1,1.4,17,23.7,34,47.3,188,261.8,2223,3095.8,517,720.0,1657,2307.6,49,68.2,MD
Allegany County,2009,72312,2600,3595.5,323,446.7,1,1.4,25,34.6,38,52.6,259,358.2,2277,3148.9,606,838.0,1622,2243.1,49,67.8,MD
Allegany County,2010,72721,2878,3957.6,312,429.0,4,5.5,26,35.8,48,66.0,234,321.8,2566,3528.6,596,819.6,1921,2641.6,49,67.4,MD
Allegany County,2011,75799,2768,3651.8,251,331.1,6,7.9,30,39.6,62,81.8,153,201.8,2517,3320.6,608,802.1,1866,2461.8,43,56.7,MD
Allegany County,2012,75413,2810,3726.1,268,355.4,3,4.0,22,29.2,42,55.7,201,266.5,2542,3370.8,571,757.2,1904,2524.8,67,88.8,MD
Allegany County,2013,73834,2637,3571.5,249,337.2,4,5.4,28,37.9,63,85.3,154,208.6,2388,3234.3,547,740.9,1787,2420.3,54,73.1,MD
Allegany County,2014,73299,2580,3519.8,201,274.2,2,2.7,15,20.5,31,42.3,153,208.7,2379,3245.6,550,750.4,1787,2438.0,42,57.3,MD
