"Table 1. Real Gross Domestic Product, by County, 2019�2022",,,,,,,,,
,Real gross domestic product,,,,,Percent change from preceding period,,,
,Thousands of chained (2017) dollars,,,,Rank in state,Percent change,,,Rank in state
,2019,2020,2021,2022,2022,2020,2021,2022,2022
United States,"20,573,580,103","20,106,509,888","21,271,676,784","21,668,520,913",--,-2.3,5.8,1.9,--
,,,,,,,,,
Alabama,"224,944,577","222,081,439","231,892,626","235,807,320",--,-1.3,4.4,1.7,--
Autauga,"1,730,861","1,722,438","1,727,818","1,929,264",23,-0.5,0.3,11.7,1
Baldwin,"8,148,786","8,102,009","8,738,819","8,924,207",7,-0.6,7.9,2.1,27
Barbour,"762,557","731,636","747,888","745,349",42,-4.1,2.2,-0.3,43
Bibb,"441,359","460,018","458,049","448,464",52,4.2,-0.4,-2.1,51
Blount,"1,014,620","907,179","1,025,600","1,045,845",34,-10.6,13.1,2.0,29
Bullock,"266,230","268,773","258,126","247,403",63,1.0,-4.0,-4.2,60
Butler,"638,217","603,301","634,002","652,201",43,-5.5,5.1,2.9,19
Calhoun,"4,555,074","4,461,364","4,624,647","4,608,415",12,-2.1,3.7,-0.4,44
Chambers,"938,023","880,665","871,486","894,548",37,-6.1,-1.0,2.6,23
Cherokee,"575,624","536,093","595,234","606,899",45,-6.9,11.0,2.0,30
Chilton,"1,114,286","1,065,893","1,086,812","1,077,591",33,-4.3,2.0,-0.8,46
Choctaw,"559,692","561,198","573,867","611,338",44,0.3,2.3,6.5,3
Clarke,"835,887","848,612","845,024","817,215",39,1.5,-0.4,-3.3,57
Clay,"425,949","425,117","433,167","433,948",55,-0.2,1.9,0.2,41
Cleburne,"285,759","280,954","316,333","332,525",59,-1.7,12.6,5.1,7
Coffee,"1,441,716","1,406,676","1,607,264","1,641,541",25,-2.4,14.3,2.1,26
Colbert,"2,570,117","2,532,200","2,551,784","2,635,868",19,-1.5,0.8,3.3,13
Conecuh,"391,837","366,987","379,476","350,708",57,-6.3,3.4,-7.6,64
Coosa,"190,197","176,564","177,586","197,269",66,-7.2,0.6,11.1,2
Covington,"1,209,690","1,211,960","1,252,767","1,229,523",30,0.2,3.4,-1.9,50
Crenshaw,"464,820","377,517","417,294","443,859",54,-18.8,10.5,6.4,4
Cullman,"2,921,760","2,807,266","3,020,298","3,112,513",15,-3.9,7.6,3.1,16
Dale,"2,806,488","2,784,502","2,891,514","2,884,753",17,-0.8,3.8,-0.2,42
Dallas,"1,263,447","1,250,079","1,259,154","1,196,269",31,-1.1,0.7,-5.0,62
DeKalb,"2,012,749","1,877,040","2,120,202","2,181,316",20,-6.7,13.0,2.9,18
