"Data Source: DCJS, Uniform Crime Reporting File. Includes all reports received as of 8/7/2023.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
County/Region,Year,Population,Index Total Count,Index Total Rate,Violent Total Count,Violent Total Rate,Murder Count,Murder Rate,Rape Count,Rape Rate,Robbery Count,Robbery Rate,Agg Assault Count,Agg Assault Rate,Property Total Count,Property Total Rate,Burglary Count,Burglary Rate,Larceny Count,Larceny Rate,MV Theft Count,MV Theft Rate
Albany,2000,304521,14096,4628.9,1353,444.3,12,3.9,79,25.9,487,159.9,775,254.5,12743,4184.6,2489,817.3,9619,3158.7,635,208.5
Albany,2001,295107,13733,4653.6,1649,558.8,7,2.4,83,28.1,533,180.6,1026,347.7,12084,4094.8,2427,822.4,8889,3012.1,768,260.2
Albany,2002,297376,12784,4298.9,1706,573.7,10,3.4,78,26.2,547,183.9,1071,360.2,11078,3725.3,2180,733.1,8140,2737.3,758,254.9
Albany,2003,296677,11977,4037.1,1402,472.6,11,3.7,51,17.2,436,147,904,304.7,10575,3564.5,2068,697.1,7883,2657.1,624,210.3
Albany,2004,298419,12710,4259.1,1431,479.5,14,4.7,77,25.8,481,161.2,859,287.9,11279,3779.6,1991,667.2,8612,2885.9,676,226.5
Albany,2005,298859,12119,4055.1,1615,540.4,13,4.3,96,32.1,511,171,995,332.9,10504,3514.7,2044,683.9,7890,2640,570,190.7
Albany,2006,298210,11935,4002.2,1545,518.1,5,1.7,71,23.8,455,152.6,1014,340,10390,3484.1,1742,584.2,8204,2751.1,444,148.9
Albany,2007,297154,10584,3561.8,1468,494,5,1.7,75,25.2,437,147.1,951,320,9116,3067.8,1585,533.4,7104,2390.7,427,143.7
Albany,2008,299789,10750,3585.9,1356,452.3,10,3.3,73,24.4,454,151.4,819,273.2,9394,3133.5,1660,553.7,7403,2469.4,331,110.4
Albany,2009,298400,10613,3556.6,1289,432,12,4,59,19.8,400,134,818,274.1,9324,3124.7,1521,509.7,7451,2497,352,118
Albany,2010,295267,11037,3738,1182,400.3,3,1,61,20.7,367,124.3,751,254.3,9855,3337.7,1594,539.9,7906,2677.6,355,120.2
Albany,2011,305571,10727,3510.5,1166,381.6,7,2.3,47,15.4,396,129.6,716,234.3,9561,3128.9,1571,514.1,7739,2532.6,251,82.1
Albany,2012,305204,9974,3268,1011,331.3,6,2,67,22,312,102.2,626,205.1,8963,2936.7,1502,492.1,7200,2359.1,261,85.5
Albany,2013,306300,9456,3087.2,1005,328.1,9,2.9,47,15.3,293,95.7,656,214.2,8451,2759.1,1203,392.8,6998,2284.7,250,81.6
Albany,2014,308166,9186,2980.9,1003,325.5,14,4.5,46,14.9,316,102.5,627,203.5,8183,2655.4,1129,366.4,6821,2213.4,233,75.6
Albany,2015,308613,8644,2800.9,1041,337.3,6,1.9,95,30.8,289,93.6,651,210.9,7603,2463.6,940,304.6,6442,2087.4,221,71.6
Albany,2016,308401,8766,2842.4,1099,356.4,5,1.6,107,34.7,293,95,694,225,7667,2486,899,291.5,6552,2124.5,216,70
Albany,2017,310352,8792,2832.9,1162,374.4,8,2.6,116,37.4,313,100.9,725,233.6,7630,2458.5,788,253.9,6615,2131.5,227,73.1
Albany,2018,304591,8346,2740.1,1097,360.2,15,4.9,119,39.1,258,84.7,705,231.5,7249,2379.9,744,244.3,6277,2060.8,228,74.9
Albany,2019,305810,8004,2617.3,997,326,8,2.6,129,42.2,233,76.2,627,205,7007,2291.3,747,244.3,6015,1966.9,245,80.1
Albany,2020,303723,7404,2437.7,1097,361.2,17,5.6,108,35.6,214,70.5,758,249.6,6307,2076.6,716,235.7,5162,1699.6,429,141.2
Albany,2021,311537,7861,2523.3,1131,363,20,6.4,107,34.3,208,66.8,796,255.5,6730,2160.3,669,214.7,5561,1785,500,160.5
Albany,2022,315477,9717,3080.1,1253,397.2,17,5.4,131,41.5,305,96.7,800,253.6,8464,2682.9,897,284.3,6795,2153.9,772,244.7
Allegany,2000,52720,964,1828.5,143,271.2,3,5.7,9,17.1,1,1.9,130,246.6,821,1557.3,250,474.2,555,1052.7,16,30.3
Allegany,2001,50019,900,1799.3,143,285.9,0,0,6,12,1,2,136,271.9,757,1513.4,194,387.9,543,1085.6,20,40
Allegany,2002,50404,862,1710.2,116,230.1,0,0,13,25.8,1,2,102,202.4,746,1480,199,394.8,544,1079.3,3,6
Allegany,2003,50266,846,1683,100,198.9,1,2,12,23.9,4,8,83,165.1,746,1484.1,178,354.1,549,1092.2,19,37.8
Allegany,2004,50659,943,1861.5,97,191.5,0,0,19,37.5,2,3.9,76,150,846,1670,202,398.7,613,1210.1,31,61.2
Allegany,2005,50647,1069,2110.7,134,264.6,0,0,37,73.1,5,9.9,92,181.6,935,1846.1,234,462,680,1342.6,21,41.5
Allegany,2006,50737,839,1653.6,119,234.5,2,3.9,13,25.6,3,5.9,101,199.1,720,1419.1,149,293.7,555,1093.9,16,31.5
Allegany,2007,50178,710,1415,86,171.4,1,2,10,19.9,2,4,73,145.5,624,1243.6,195,388.6,413,823.1,16,31.9
Allegany,2008,49594,651,1312.7,91,183.5,0,0,10,20.2,4,8.1,77,155.3,560,1129.2,174,350.8,368,742,18,36.3
Allegany,2009,49605,776,1564.4,129,260.1,0,0,45,90.7,4,8.1,80,161.3,647,1304.3,204,411.2,426,858.8,17,34.3
Allegany,2010,48531,841,1732.9,89,183.4,0,0,11,22.7,6,12.4,72,148.4,752,1549.5,161,331.7,577,1188.9,14,28.8
Allegany,2011,49166,895,1820.4,64,130.2,0,0,13,26.4,4,8.1,47,95.6,831,1690.2,190,386.4,621,1263.1,20,40.7
Allegany,2012,49041,859,1751.6,65,132.5,2,4.1,9,18.4,2,4.1,52,106,794,1619.1,211,430.3,564,1150.1,19,38.7
Allegany,2013,48220,796,1650.8,54,112,0,0,9,18.7,4,8.3,41,85,742,1538.8,194,402.3,534,1107.4,14,29
Allegany,2014,47972,615,1282,68,141.7,2,4.2,9,18.8,3,6.3,54,112.6,547,1140.2,136,283.5,396,825.5,15,31.3
Allegany,2015,47336,579,1223.2,57,120.4,0,0,28,59.2,0,0,29,61.3,522,1102.8,95,200.7,412,870.4,15,31.7
Allegany,2016,46858,572,1220.7,81,172.9,0,0,36,76.8,0,0,45,96,491,1047.8,121,258.2,348,742.7,22,47
Allegany,2017,46878,509,1085.8,80,170.7,2,4.3,34,72.5,3,6.4,41,87.5,429,915.1,80,170.7,335,714.6,14,29.9
Allegany,2018,45732,458,1001.5,75,164,1,2.2,29,63.4,4,8.7,41,89.7,383,837.5,86,188.1,284,621,13,28.4
Allegany,2019,45870,457,996.3,61,133,0,0,30,65.4,1,2.2,30,65.4,396,863.3,97,211.5,273,595.2,26,56.7
Allegany,2020,45491,402,883.7,73,160.5,3,6.6,38,83.5,3,6.6,29,63.7,329,723.2,86,189,215,472.6,28,61.6
Allegany,2021,46443,386,831.1,92,198.1,1,2.2,43,92.6,2,4.3,46,99,294,633,56,120.6,207,445.7,31,66.7
Allegany,2022,46186,402,870.4,100,216.5,0,0,35,75.8,7,15.2,58,125.6,302,653.9,61,132.1,221,478.5,20,43.3
Bronx,2000,1270428,49537,3899.2,16482,1297.4,190,15,400,31.5,6123,482,9769,769,33055,2601.9,7312,575.6,19101,1503.5,6642,522.8
Bronx,2001,1315775,46367,3523.9,14793,1124.3,191,14.5,404,30.7,5288,401.9,8910,677.2,31574,2399.7,5702,433.4,20303,1543,5569,423.2
Bronx,2002,1325890,44035,3321.2,14112,1064.3,172,13,443,33.4,5215,393.3,8282,624.6,29923,2256.8,5057,381.4,19585,1477.1,5281,398.3
Bronx,2003,1352377,43071,3184.8,13381,989.4,136,10.1,407,30.1,5170,382.3,7668,567,29690,2195.4,5027,371.7,19851,1467.9,4812,355.8
Bronx,2004,1369123,40939,2990.2,12797,934.7,125,9.1,290,21.2,5076,370.7,7306,533.6,28142,2055.5,4708,343.9,18904,1380.7,4530,330.9
Bronx,2005,1355320,39024,2879.3,12325,909.4,129,9.5,267,19.7,5057,373.1,6872,507,26699,1969.9,4082,301.2,18487,1364,4130,304.7
Bronx,2006,1363555,36655,2688.2,11922,874.3,155,11.4,247,18.1,4882,358,6638,486.8,24733,1813.9,3776,276.9,17526,1285.3,3431,251.6
Bronx,2007,1364553,36053,2642.1,11689,856.6,130,9.5,181,13.3,4613,338.1,6765,495.8,24364,1785.5,3756,275.3,17617,1291,2991,219.2
Bronx,2008,1385371,35284,2546.9,11345,818.9,132,9.5,191,13.8,4793,346,6229,449.6,23939,1728,3408,246,17608,1271,2923,211
Bronx,2009,1398093,33755,2414.4,11242,804.1,113,8.1,163,11.7,4132,295.5,6834,488.8,22513,1610.3,3563,254.8,16525,1182,2425,173.5
Bronx,2010,1387983,34008,2450.2,12070,869.6,127,9.1,191,13.8,4647,334.8,7105,511.9,21938,1580.6,3223,232.2,16552,1192.5,2163,155.8
Bronx,2011,1391333,35130,2524.9,12267,881.7,148,10.6,204,14.7,4580,329.2,7335,527.2,22863,1643.2,3395,244,17358,1247.6,2110,151.7
Bronx,2012,1404471,35962,2560.5,12801,911.4,114,8.1,220,15.7,4731,336.9,7736,550.8,23161,1649.1,3058,217.7,18454,1313.9,1649,117.4
