PolygonLayer2_label,Value0
,6.8
,2.6
,4
,3.8
,3.3
,4.2
,3
,4.2
,4.5
,4.7
,2.9
,3
,3.5
,2.7
,4.6
,3
,2.7
,2.7
,3.9
,3.7
,3
,3.2
,3.8
,4.2
,2.7
,3.9
,2.5
,2.6
,2.3
,5.4
,2.5
,3.7
,4
,4.3
,3.7
,2.1
,4
,3
,4.2
,4.4
,3.2
,3.2
,2.1
,3.4
,3.9
,2.3
,2.6
,2.9
,4.2
,3.9
,2.9
,3.6
,6

fips1,name,year,ID2014,Textbox50,ID20152,Textbox53,ID2016,Textbox56,ID20171,Textbox59,ID20181,Textbox62,ID2013,Textbox65,ID20141,Textbox68,ID2015,Textbox71,ID20161,Textbox12,Textbox20,Textbox11
36000,New York,2014,6.3,2015,5.2,2016,4.9,2017,4.6,2018,4.1,2019,3.9,2020,9.8,2021,7.0,2022,4.3,Median Household Income (2021),"$74,230",100.0%
36001,"Albany County, NY",2014,4.9,2015,4.4,2016,4.1,2017,4.2,2018,3.7,2019,3.5,2020,6.9,2021,4.4,2022,3.0,Median Household Income (2021),"$74,512",100.4%
36003,"Allegany County, NY",2014,6.3,2015,6.5,2016,6.4,2017,6.6,2018,5.6,2019,5.2,2020,7.7,2021,5.0,2022,4.0,Median Household Income (2021),"$55,320",74.5%
36005,"Bronx County, NY",2014,9.5,2015,7.6,2016,7.1,2017,6.2,2018,5.7,2019,5.4,2020,16.0,2021,13.8,2022,7.8,Median Household Income (2021),"$43,143",58.1%
36007,"Broome County, NY",2014,6.7,2015,6.0,2016,5.5,2017,5.5,2018,4.8,2019,4.5,2020,8.3,2021,5.3,2022,3.8,Median Household Income (2021),"$55,729",75.1%
36009,"Cattaraugus County, NY",2014,7.1,2015,6.3,2016,6.1,2017,6.2,2018,5.3,2019,4.8,2020,9.1,2021,5.3,2022,4.0,Median Household Income (2021),"$54,602",73.6%
36011,"Cayuga County, NY",2014,6.0,2015,5.4,2016,5.1,2017,5.0,2018,4.4,2019,4.1,2020,7.6,2021,4.7,2022,3.4,Median Household Income (2021),"$62,839",84.7%
36013,"Chautauqua County, NY",2014,6.9,2015,6.1,2016,5.9,2017,6.0,2018,5.0,2019,4.5,2020,8.5,2021,5.6,2022,3.9,Median Household Income (2021),"$48,102",64.8%
36015,"Chemung County, NY",2014,6.3,2015,5.9,2016,5.8,2017,5.5,2018,4.6,2019,4.0,2020,8.4,2021,5.3,2022,3.7,Median Household Income (2021),"$59,155",79.7%
36017,"Chenango County, NY",2014,6.3,2015,5.5,2016,5.1,2017,5.3,2018,4.6,2019,4.3,2020,6.6,2021,4.4,2022,3.3,Median Household Income (2021),"$58,177",78.4%
36019,"Clinton County, NY",2014,6.7,2015,5.9,2016,5.5,2017,5.2,2018,4.4,2019,4.2,2020,7.7,2021,4.7,2022,3.3,Median Household Income (2021),"$60,094",81.0%
36021,"Columbia County, NY",2014,4.8,2015,4.0,2016,3.7,2017,3.8,2018,3.3,2019,3.1,2020,5.9,2021,3.9,2022,2.7,Median Household Income (2021),"$69,403",93.5%
36023,"Cortland County, NY",2014,6.6,2015,5.9,2016,5.8,2017,5.8,2018,5.1,2019,4.7,2020,7.7,2021,5.1,2022,3.8,Median Household Income (2021),"$62,292",83.9%
36025,"Delaware County, NY",2014,6.6,2015,6.0,2016,5.6,2017,5.5,2018,4.8,2019,4.5,2020,7.0,2021,4.7,2022,3.7,Median Household Income (2021),"$53,385",71.9%
36027,"Dutchess County, NY",2014,5.4,2015,4.5,2016,4.2,2017,4.3,2018,3.7,2019,3.4,2020,7.3,2021,4.5,2022,3.1,Median Household Income (2021),"$87,370",117.7%
36029,"Erie County, NY",2014,6.2,2015,5.4,2016,5.0,2017,5.1,2018,4.4,2019,4.1,2020,9.1,2021,5.4,2022,3.6,Median Household Income (2021),"$63,014",84.9%
36031,"Essex County, NY",2014,6.9,2015,6.1,2016,5.4,2017,5.4,2018,4.8,2019,4.5,2020,7.9,2021,4.8,2022,3.6,Median Household Income (2021),"$62,884",84.7%
36033,"Franklin County, NY",2014,7.3,2015,6.6,2016,5.8,2017,6.0,2018,5.1,2019,4.7,2020,7.9,2021,4.8,2022,3.6,Median Household Income (2021),"$54,960",74.0%
36035,"Fulton County, NY",2014,7.7,2015,6.5,2016,5.8,2017,5.7,2018,5.1,2019,4.8,2020,8.3,2021,5.5,2022,3.9,Median Household Income (2021),"$56,169",75.7%
36037,"Genesee County, NY",2014,5.6,2015,5.0,2016,4.7,2017,4.7,2018,4.1,2019,3.7,2020,7.1,2021,4.3,2022,3.1,Median Household Income (2021),"$62,785",84.6%
36039,"Greene County, NY",2014,6.8,2015,5.7,2016,5.1,2017,5.2,2018,4.5,2019,4.3,2020,8.0,2021,5.0,2022,3.5,Median Household Income (2021),"$61,375",82.7%
