County/Region,Year,Population,Index Total Count,Index Total Rate,Violent Total Count,Violent Total Rate,Murder Count,Murder Rate,Rape Count,Rape Rate,Robbery Count,Robbery Rate,Agg Assault Count,Agg Assault Rate,Property Total Count,Property Total Rate,Burglary Count,Burglary Rate,Larceny Count,Larceny Rate,MV Theft Count,MV Theft Rate,State,Average Value
Allegany,2000,74930.0,2378.0,3173.6,271.0,361.7,2.0,2.7,24.0,32.0,21.0,28.0,224.0,298.9,2107.0,2812.0,421.0,561.9,1562.0,2084.6,124.0,165.5,MD,50402.26593999999
Allegany,2001,76043.0,2670.0,3511.2,320.0,420.8,1.0,1.3,22.0,28.9,29.0,38.1,268.0,352.4,2350.0,3090.4,426.0,560.2,1805.0,2373.7,119.0,156.5,MD,54473.1427859091
Allegany,2002,77216.0,2368.0,3066.7,235.0,304.3,0.0,0.0,26.0,33.7,22.0,28.5,187.0,242.2,2133.0,2762.4,487.0,630.7,1557.0,2016.4,89.0,115.3,MD,59413.44181045454
Allegany,2003,74893.0,2541.0,3392.8,262.0,349.8,1.0,1.3,22.0,29.4,31.0,41.4,208.0,277.7,2279.0,3043.0,555.0,741.1,1631.0,2177.8,93.0,124.2,MD,64229.10349545454
Allegany,2004,74325.0,2349.0,3160.4,325.0,437.3,0.0,0.0,23.0,30.9,27.0,36.3,275.0,370.0,2024.0,2723.2,488.0,656.6,1481.0,1992.6,55.0,74.0,MD,69566.44896208335
Allegany,2005,74434.0,2308.0,3100.7,260.0,349.3,1.0,1.3,30.0,40.3,15.0,20.2,214.0,287.5,2048.0,2751.4,460.0,618.0,1531.0,2056.9,57.0,76.6,MD,76861.99790181819
Allegany,2006,73841.0,2493.0,3376.2,282.0,381.9,1.0,1.4,29.0,39.3,37.0,50.1,215.0,291.2,2211.0,2994.3,542.0,734.0,1586.0,2147.9,83.0,112.4,MD,85683.76023363635
Allegany,2007,71977.0,2521.0,3502.5,262.0,364.0,0.0,0.0,20.0,27.8,35.0,48.6,207.0,287.6,2259.0,3138.5,536.0,744.7,1631.0,2266.0,92.0,127.8,MD,90605.06070181816
Allegany,2008,71806.0,2463.0,3430.1,240.0,334.2,1.0,1.4,17.0,23.7,34.0,47.3,188.0,261.8,2223.0,3095.8,517.0,720.0,1657.0,2307.6,49.0,68.2,MD,89419.43815875001
Allegany,2009,72312.0,2600.0,3595.5,323.0,446.7,1.0,1.4,25.0,34.6,38.0,52.6,259.0,358.2,2277.0,3148.9,606.0,838.0,1622.0,2243.1,49.0,67.8,MD,81629.23858954546
Allegany,2010,72721.0,2878.0,3957.6,312.0,429.0,4.0,5.5,26.0,35.8,48.0,66.0,234.0,321.8,2566.0,3528.6,596.0,819.6,1921.0,2641.6,49.0,67.4,MD,77983.48026454543
Allegany,2011,75799.0,2768.0,3651.8,251.0,331.1,6.0,7.9,30.0,39.6,62.0,81.8,153.0,201.8,2517.0,3320.6,608.0,802.1,1866.0,2461.8,43.0,56.7,MD,56880.650505
Allegany,2012,75413.0,2810.0,3726.1,268.0,355.4,3.0,4.0,22.0,29.2,42.0,55.7,201.0,266.5,2542.0,3370.8,571.0,757.2,1904.0,2524.8,67.0,88.8,MD,80125.10787833335
Allegany,2013,73834.0,2637.0,3571.5,249.0,337.2,4.0,5.4,28.0,37.9,63.0,85.3,154.0,208.6,2388.0,3234.3,547.0,740.9,1787.0,2420.3,54.0,73.1,MD,79816.28744
Allegany,2014,73299.0,2580.0,3519.8,201.0,274.2,2.0,2.7,15.0,20.5,31.0,42.3,153.0,208.7,2379.0,3245.6,550.0,750.4,1787.0,2438.0,42.0,57.3,MD,80618.30115500001
Allegany,2017,71616.0,2483.0,3467.1,244.0,340.7,4.0,5.6,14.0,19.5,58.0,81.0,168.0,234.6,2239.0,3126.4,469.0,654.9,1724.0,2407.3,46.0,64.2,MD,83442.96767863637
Allegany,2018,70577.0,1896.0,2686.4,253.0,358.5,2.0,2.8,20.0,28.3,42.0,59.5,189.0,267.8,1643.0,2328.0,404.0,572.4,1182.0,1674.8,57.0,80.8,MD,86477.50165454544
Allegany,2019,70140.0,1749.0,2493.6,228.0,325.1,0.0,0.0,24.0,34.2,44.0,62.7,160.0,228.1,1521.0,2168.5,349.0,497.6,1111.0,1584.0,61.0,87.0,MD,90451.79341636364
Allegany,2020,69699.0,1529.0,2193.7,231.0,331.4,1.0,1.4,19.0,27.3,42.0,60.3,169.0,242.5,1298.0,1862.3,313.0,449.1,926.0,1328.6,59.0,84.6,MD,95442.10552125
Allegany,2015,72230.0,2490.0,3447.3,218.0,301.8,3.0,4.2,24.0,33.2,58.0,80.3,133.0,184.1,2272.0,3145.5,486.0,672.9,1737.0,2404.8,49.0,67.8,MD,80747.1142709091
Allegany,2016,71622.0,2319.0,3237.8,245.0,342.1,5.0,7.0,16.0,22.3,65.0,90.8,159.0,222.0,2074.0,2895.8,388.0,541.7,1642.0,2292.6,44.0,61.4,MD,81970.15982624999
Anne Arundel,2000,489656.0,21331.0,4356.3,3384.0,691.1,11.0,2.2,117.0,23.9,646.0,131.9,2610.0,533.0,17947.0,3665.2,3147.0,642.7,13402.0,2737.0,1398.0,285.5,MD,172129.23235
Anne Arundel,2001,496929.0,22009.0,4429.0,3798.0,764.3,11.0,2.2,119.0,23.9,736.0,148.1,2932.0,590.0,18211.0,3664.7,3206.0,645.2,13747.0,2766.4,1258.0,253.2,MD,184530.0623636364
Anne Arundel,2002,504601.0,21783.0,4316.9,3607.0,714.8,17.0,3.4,94.0,18.6,754.0,149.4,2742.0,543.4,18176.0,3602.1,3191.0,632.4,13501.0,2675.6,1484.0,294.1,MD,206591.6995909091
Anne Arundel,2003,508071.0,21285.0,4189.4,3503.0,689.5,24.0,4.7,93.0,18.3,753.0,148.2,2633.0,518.2,17782.0,3499.9,3107.0,611.5,13234.0,2604.8,1441.0,283.6,MD,238405.3184636364
Anne Arundel,2004,511140.0,20304.0,3972.3,3296.0,644.8,16.0,3.1,110.0,21.5,767.0,150.1,2403.0,470.1,17008.0,3327.5,2986.0,584.2,12391.0,2424.2,1631.0,319.1,MD,281039.89955833333
Anne Arundel,2005,512445.0,20101.0,3922.6,3167.0,618.0,16.0,3.1,88.0,17.2,865.0,168.8,2198.0,428.9,16934.0,3304.5,3122.0,609.2,12288.0,2397.9,1524.0,297.4,MD,344153.9172909091
Anne Arundel,2006,512277.0,20458.0,3993.5,3167.0,618.2,23.0,4.5,110.0,21.5,943.0,184.1,2091.0,408.2,17291.0,3375.3,3420.0,667.6,12217.0,2384.8,1654.0,322.9,MD,389744.35259090905
Anne Arundel,2007,508164.0,21442.0,4219.5,3068.0,603.7,20.0,3.9,90.0,17.7,910.0,179.1,2048.0,403.0,18374.0,3615.8,3412.0,671.4,13295.0,2616.3,1667.0,328.0,MD,389093.3341727273
Anne Arundel,2008,511145.0,22233.0,4349.6,2931.0,573.4,18.0,3.5,109.0,21.3,810.0,158.5,1994.0,390.1,19302.0,3776.2,3419.0,668.9,14302.0,2798.0,1581.0,309.3,MD,359801.8153916667
Anne Arundel,2009,517763.0,19884.0,3840.4,2920.0,564.0,16.0,3.1,95.0,18.3,746.0,144.1,2063.0,398.4,16964.0,3276.4,3067.0,592.4,12763.0,2465.0,1134.0,219.0,MD,328180.0837090909
Anne Arundel,2010,527278.0,18757.0,3557.3,2929.0,555.5,18.0,3.4,113.0,21.4,661.0,125.4,2137.0,405.3,15828.0,3001.8,2860.0,542.4,11732.0,2225.0,1236.0,234.4,MD,315957.0505818182
Anne Arundel,2011,542753.0,17160.0,3161.7,2675.0,492.9,15.0,2.8,91.0,16.8,597.0,110.0,1972.0,363.3,14485.0,2668.8,2259.0,416.2,11394.0,2099.3,832.0,153.3,MD,301792.84530909086
Anne Arundel,2012,549659.0,17053.0,3102.5,2281.0,415.0,13.0,2.4,100.0,18.2,538.0,97.9,1630.0,296.5,14772.0,2687.5,2585.0,470.3,11299.0,2055.6,888.0,161.6,MD,301428.92929166666
Anne Arundel,2013,555330.0,16790.0,3023.4,2319.0,417.6,15.0,2.7,71.0,12.8,630.0,113.4,1603.0,288.7,14471.0,2605.8,2522.0,454.1,11272.0,2029.8,677.0,121.9,MD,318324.3279636364
Anne Arundel,2014,561031.0,15737.0,2805.0,2263.0,403.4,14.0,2.5,92.0,16.4,634.0,113.0,1523.0,271.5,13474.0,2401.6,2152.0,383.6,10620.0,1892.9,702.0,125.1,MD,329998.3169272727
Anne Arundel,2015,563766.0,15109.0,2680.0,2195.0,389.3,17.0,3.0,140.0,24.8,613.0,108.7,1425.0,252.8,12914.0,2290.7,2084.0,369.7,10201.0,1809.4,629.0,111.6,MD,333676.3281818182
Anne Arundel,2016,566105.0,14938.0,2638.7,2312.0,408.4,25.0,4.4,154.0,27.2,558.0,98.6,1575.0,278.2,12626.0,2230.3,1979.0,349.6,10025.0,1770.9,622.0,109.9,MD,339226.655625
