county_name,year,gdpo
Albany,2019,32999927
Albany,2020,32153712
Albany,2021,34560195
Albany,2022,35344278
Allegany,2019,1723115
Allegany,2020,1503822
Allegany,2021,1440041
Allegany,2022,1455053
Bronx,2019,44654229
Bronx,2020,42641082
Bronx,2021,43193892
Bronx,2022,43674840
Broome,2019,9235160
Broome,2020,8765443
Broome,2021,9094136
Broome,2022,9113132
Cattaraugus,2019,2912501
Cattaraugus,2020,2674582
Cattaraugus,2021,2754369
Cattaraugus,2022,2802526
Cayuga,2019,2901102
Cayuga,2020,2859962
Cayuga,2021,2922864
Cayuga,2022,3021077
Chautauqua,2019,4826497
Chautauqua,2020,4417196
Chautauqua,2021,4533912
Chautauqua,2022,4624016
Chemung,2019,3743192
Chemung,2020,3525046
Chemung,2021,3632541
Chemung,2022,3638009
Chenango,2019,2332107
Chenango,2020,2145803
Chenango,2021,2122158
Chenango,2022,2150842
Clinton,2019,3688995
Clinton,2020,3515075
Clinton,2021,3551838
Clinton,2022,3651035
Columbia,2019,2387520
Columbia,2020,2359070
Columbia,2021,2431593
Columbia,2022,2488410
Cortland,2019,1779631
Cortland,2020,1734855
Cortland,2021,1756948
Cortland,2022,1780982
Delaware,2019,2102985
Delaware,2020,1973430
Delaware,2021,2045734
Delaware,2022,2079137
Dutchess,2019,14476090
Dutchess,2020,13730581
Dutchess,2021,14690159
Dutchess,2022,15155173
Erie,2019,58833333
Erie,2020,57185300
Erie,2021,59608198
Erie,2022,61513170
Essex,2019,1633581
Essex,2020,1589630
Essex,2021,1692277
Essex,2022,1651212
Franklin,2019,1930257
Franklin,2020,1844355
Franklin,2021,1921925
Franklin,2022,1993979
Fulton,2019,1903639
Fulton,2020,1830046
Fulton,2021,1811181
Fulton,2022,1834847
Genesee,2019,2471004
Genesee,2020,2338823
Genesee,2021,2384296
Genesee,2022,2438446
Greene,2019,2296907
Greene,2020,2273615
Greene,2021,2366047
Greene,2022,2784197
Hamilton,2019,231065
Hamilton,2020,227567
Hamilton,2021,223186
Hamilton,2022,227776
Herkimer,2019,1822195
Herkimer,2020,1770381
Herkimer,2021,1739737
Herkimer,2022,1718324
Jefferson,2019,6361905
Jefferson,2020,6162157
Jefferson,2021,6333785
Jefferson,2022,6340740
Kings,2019,103556746
Kings,2020,99716770
Kings,2021,102898460
Kings,2022,107274215
Lewis,2019,1106714
Lewis,2020,1052892
Lewis,2021,1095018
Lewis,2022,1180637
Livingston,2019,2237999
Livingston,2020,2063724
Livingston,2021,2122378
Livingston,2022,2137940
Madison,2019,2348829
Madison,2020,2240817
Madison,2021,2256545
Madison,2022,2326686
Monroe,2019,48455221
Monroe,2020,46524210
Monroe,2021,48488895
Monroe,2022,49325244
Montgomery,2019,1954214
Montgomery,2020,1860695
Montgomery,2021,1877330
Montgomery,2022,1954212
Nassau,2019,101628423
Nassau,2020,97965888
Nassau,2021,100751877
