County/Region,State,Year,Average Value
Kings,NY,2000,208263.63720000003
Queens,NY,2000,262974.414725
New York,NY,2000,393064.1499166666
Suffolk,NY,2000,194451.88785833333
Bronx,NY,2000,214212.0654333333
Nassau,NY,2000,257815.52326666669
Montgomery,MD,2000,143296.87982916666
Westchester,NY,2000,302584.35237499996
Prince Georges,MD,2000,148276.36531666666
Erie,NY,2000,88353.77282416665
Baltimore,MD,2000,137329.37785000002
Monroe,NY,2000,99129.31055583333
Baltimore City,MD,2000,60793.203094166674
Anne Arundel,MD,2000,172129.23235
Richmond,NY,2000,199242.561
Onondaga,NY,2000,79966.44358916667
Orange,NY,2000,141242.56089166668
Rockland,NY,2000,241788.06514999995
Howard,MD,2000,205719.163125
Albany,NY,2000,117522.654675
Dutchess,NY,2000,177596.05925000002
Frederick,MD,2000,173668.90604166663
Harford,MD,2000,160674.3064166667
Saratoga,NY,2000,124010.79405833331
Oneida,NY,2000,67248.76840333334
Niagara,NY,2000,75085.38017583333
Broome,NY,2000,62880.157445
Ulster,NY,2000,119257.29310000001
Carroll,MD,2000,171046.29069166665
Charles,MD,2000,178193.48610833334
Rensselaer,NY,2000,103022.00823333334
Schenectady,NY,2000,93966.74352916666
Washington,MD,2000,99024.24862708336
Chautauqua,NY,2000,57201.75807
Oswego,NY,2000,63171.13018833333
Jefferson,NY,2000,52392.600739166664
Saint Marys,MD,2000,164233.5882
Ontario,NY,2000,108080.99164999998
Saint Lawrence,NY,2000,47288.427064999996
Tompkins,NY,2000,87665.36172750003
Cecil,MD,2000,142218.47281666668
Wicomico,MD,2000,112613.84517500002
Putnam,NY,2000,207004.82997499997
Steuben,NY,2000,76517.93989583333
Calvert,MD,2000,176015.66708333333
Wayne,NY,2000,98984.85830583332
Chemung,NY,2000,57064.8677075
Clinton,NY,2000,82715.63250333333
Sullivan,NY,2000,70768.99398833333
Cattaraugus,NY,2000,54069.30503083334
Cayuga,NY,2000,60869.26527333333
Allegany,MD,2000,50402.26593999999
Madison,NY,2000,90348.0875875
Warren,NY,2000,97781.50230583333
Livingston,NY,2000,88992.8944875
Columbia,NY,2000,104046.98206666665
Herkimer,NY,2000,57128.247853333334
Otsego,NY,2000,53128.203817500005
Genesee,NY,2000,76945.34768333334
Fulton,NY,2000,60978.63857916667
Worcester,MD,2000,124977.72914166667
Queen Annes,MD,2000,209567.2676916667
Tioga,NY,2000,73014.8487725
