County/Region,Year,Average Value
Kings,2000,208263.63720000003
Queens,2000,262974.414725
New York,2000,393064.1499166666
Suffolk,2000,194451.88785833333
Bronx,2000,214212.0654333333
Nassau,2000,257815.52326666669
Westchester,2000,302584.35237499996
Erie,2000,88353.77282416665
Monroe,2000,99129.31055583333
Richmond,2000,199242.561
Onondaga,2000,79966.44358916667
Orange,2000,141242.56089166668
Rockland,2000,241788.06514999995
Albany,2000,117522.654675
Dutchess,2000,177596.05925000002
Saratoga,2000,124010.79405833331
Oneida,2000,67248.76840333334
Niagara,2000,75085.38017583333
Broome,2000,62880.157445
Ulster,2000,119257.29310000001
Rensselaer,2000,103022.00823333334
Schenectady,2000,93966.74352916666
Chautauqua,2000,57201.75807
Oswego,2000,63171.13018833333
Jefferson,2000,52392.600739166664
Ontario,2000,108080.99164999998
Saint Lawrence,2000,47288.427064999996
Tompkins,2000,87665.36172750003
Putnam,2000,207004.82997499997
Steuben,2000,76517.93989583333
Wayne,2000,98984.85830583332
Chemung,2000,57064.8677075
Clinton,2000,82715.63250333333
Sullivan,2000,70768.99398833333
Cattaraugus,2000,54069.30503083334
Cayuga,2000,60869.26527333333
Madison,2000,90348.0875875
Warren,2000,97781.50230583333
Livingston,2000,88992.8944875
Columbia,2000,104046.98206666665
Washington,2000,70937.13429583334
Herkimer,2000,57128.247853333334
Otsego,2000,53128.203817500005
Genesee,2000,76945.34768333334
Fulton,2000,60978.63857916667
Montgomery,2000,60989.847358333325
Tioga,2000,73014.8487725
Greene,2000,78043.68404916667
Franklin,2000,61229.6074025
Chenango,2000,51674.03010416666
Cortland,2000,65681.62617583334
Allegany,2000,45225.43838
Delaware,2000,66669.5652325
Wyoming,2000,67601.633065
Orleans,2000,60408.31347583333
Essex,2000,71761.70936583333
Seneca,2000,73372.86773166667
Schoharie,2000,73964.83611333334
Lewis,2000,62188.385353333324
Yates,2000,96813.018635
Schuyler,2000,80717.53261833335
Hamilton,2000,84612.33883666668
Kings,2001,235577.25912727273
Queens,2001,297662.9566
New York,2001,469092.51328181825
Suffolk,2001,227917.67277272727
Bronx,2001,235419.0973636364
Nassau,2001,289225.21491818177
Westchester,2001,344463.68227272725
Erie,2001,88556.00446545455
Monroe,2001,102365.00907272728
Richmond,2001,229253.02961818178
Onondaga,2001,83967.61764272727
Orange,2001,156295.46226363638
Rockland,2001,274225.0518636364
Albany,2001,120197.59657272729
Dutchess,2001,197910.90254545453
Saratoga,2001,130001.9526909091
Oneida,2001,70062.0350509091
Niagara,2001,78068.13265090912
Broome,2001,65970.22163272726
Ulster,2001,131522.6040090909
Rensselaer,2001,107968.76113636364
Schenectady,2001,99211.22021818183
Chautauqua,2001,60349.47183818181
Oswego,2001,66190.29922454547
Jefferson,2001,55720.56802636364
Ontario,2001,113582.39971818183
Saint Lawrence,2001,50130.50321727272
Tompkins,2001,92290.89410454546
Putnam,2001,232834.01563636362
Steuben,2001,81617.81181181819
Wayne,2001,108172.29291818183
Chemung,2001,59460.470056363636
Clinton,2001,89143.53667
Sullivan,2001,77987.15896636364
Cattaraugus,2001,58226.47305636364
Cayuga,2001,65833.35356999999
Madison,2001,97875.36010727273
Warren,2001,105321.23720909092
Livingston,2001,95306.86268454546
Columbia,2001,112912.18488181816
Washington,2001,77194.34976545454
Herkimer,2001,62030.25378272726
Otsego,2001,57930.63433818182
Genesee,2001,82298.13822363637
Fulton,2001,65817.96011727271
Montgomery,2001,66051.68427909091
Tioga,2001,78392.84027363636
Greene,2001,84566.57075363638
Franklin,2001,66532.84944363637
Chenango,2001,56079.00496454544
Cortland,2001,70764.74992999999
Allegany,2001,49370.59931909091
Delaware,2001,72984.11320818182
Wyoming,2001,72920.7168290909
Orleans,2001,64735.96511545454
Essex,2001,78456.93960181817
Seneca,2001,78861.55067636364
Schoharie,2001,80353.3336509091
Lewis,2001,66937.16754818181
Yates,2001,105480.39398181817
Schuyler,2001,87063.70969272728
Hamilton,2001,92237.07464818182
Kings,2002,203579.88325454545
Queens,2002,317071.45537272724
New York,2002,534289.0259545455
Suffolk,2002,266933.2566363636
Bronx,2002,263804.4558272727
Nassau,2002,326215.25390909094
Westchester,2002,390946.14039090904
Erie,2002,92888.55682454546
Monroe,2002,105954.55221818182
Richmond,2002,259903.5174818182
Onondaga,2002,88113.43208727274
Orange,2002,176942.8359
Rockland,2002,311027.9276818182
