FIPS_Code,State,County/Region,Year,Employed,Unemployed,Unemployment_rate
24001,MD,Allegany,2000,"30,932","1,929",5.9
24001,MD,Allegany,2001,"30,951","2,171",6.6
24001,MD,Allegany,2002,"31,260","2,222",6.6
24001,MD,Allegany,2003,"32,452","2,232",6.4
24001,MD,Allegany,2004,"32,770","2,310",6.6
24001,MD,Allegany,2005,"33,124","2,340",6.6
24001,MD,Allegany,2006,"33,317","2,158",6.1
24001,MD,Allegany,2007,"33,262","1,928",5.5
24001,MD,Allegany,2008,"33,521","2,147",6.0
24001,MD,Allegany,2009,"33,109","3,345",9.2
24001,MD,Allegany,2010,"31,189","3,288",9.5
24001,MD,Allegany,2011,"30,990","3,112",9.1
24001,MD,Allegany,2012,"30,875","2,975",8.8
24001,MD,Allegany,2013,"30,785","2,829",8.4
24001,MD,Allegany,2014,"30,763","2,489",7.5
24001,MD,Allegany,2015,"30,051","2,209",6.8
24001,MD,Allegany,2016,"30,416","1,949",6.0
24001,MD,Allegany,2017,"30,836","1,807",5.5
24001,MD,Allegany,2018,"30,916","1,740",5.3
24001,MD,Allegany,2019,"31,254","1,622",4.9
24001,MD,Allegany,2020,"29,105","2,357",7.5
24001,MD,Allegany,2021,"28,777","1,817",5.9
24001,MD,Allegany,2022,"29,849","1,253",4.0
24003,MD,Anne Arundel,2000,"259,292","8,013",3.0
24003,MD,Anne Arundel,2001,"261,010","9,705",3.6
24003,MD,Anne Arundel,2002,"261,382","11,451",4.2
24003,MD,Anne Arundel,2003,"259,619","11,141",4.1
24003,MD,Anne Arundel,2004,"259,765","10,866",4.0
24003,MD,Anne Arundel,2005,"264,459","10,510",3.8
24003,MD,Anne Arundel,2006,"269,707","10,065",3.6
24003,MD,Anne Arundel,2007,"272,510","9,078",3.2
24003,MD,Anne Arundel,2008,"274,099","11,390",4.0
24003,MD,Anne Arundel,2009,"268,328","19,786",6.9
24003,MD,Anne Arundel,2010,"266,214","20,259",7.1
24003,MD,Anne Arundel,2011,"270,942","18,464",6.4
24003,MD,Anne Arundel,2012,"276,469","17,410",5.9
24003,MD,Anne Arundel,2013,"279,785","16,749",5.6
24003,MD,Anne Arundel,2014,"282,564","14,839",5.0
24003,MD,Anne Arundel,2015,"287,823","12,976",4.3
24003,MD,Anne Arundel,2016,"292,085","11,149",3.7
24003,MD,Anne Arundel,2017,"302,969","10,716",3.4
24003,MD,Anne Arundel,2018,"308,544","10,282",3.2
24003,MD,Anne Arundel,2019,"318,030","9,448",2.9
24003,MD,Anne Arundel,2020,"300,973","17,764",5.6
24003,MD,Anne Arundel,2021,"299,102","13,722",4.4
24003,MD,Anne Arundel,2022,"304,493","8,892",2.8
24005,MD,Baltimore,2000,"392,949","15,005",3.7
24005,MD,Baltimore,2001,"394,321","17,759",4.3
24005,MD,Baltimore,2002,"394,366","20,477",4.9
24005,MD,Baltimore,2003,"392,867","20,966",5.1
24005,MD,Baltimore,2004,"393,167","19,835",4.8
24005,MD,Baltimore,2005,"400,813","19,504",4.6
24005,MD,Baltimore,2006,"410,696","18,226",4.2
24005,MD,Baltimore,2007,"413,498","16,316",3.8
24005,MD,Baltimore,2008,"413,616","20,275",4.7
24005,MD,Baltimore,2009,"400,495","34,811",8.0
24005,MD,Baltimore,2010,"395,705","36,406",8.4
24005,MD,Baltimore,2011,"401,906","33,772",7.8
24005,MD,Baltimore,2012,"408,491","31,921",7.2
24005,MD,Baltimore,2013,"411,999","30,143",6.8
24005,MD,Baltimore,2014,"414,836","26,484",6.0
24005,MD,Baltimore,2015,"421,631","23,076",5.2
24005,MD,Baltimore,2016,"424,736","19,947",4.5
24005,MD,Baltimore,2017,"437,550","18,982",4.2
24005,MD,Baltimore,2018,"441,260","17,904",3.9
24005,MD,Baltimore,2019,"451,794","16,349",3.5
24005,MD,Baltimore,2020,"424,267","29,779",6.6
24005,MD,Baltimore,2021,"421,591","23,252",5.2
24005,MD,Baltimore,2022,"429,164","14,672",3.3
24009,MD,Calvert,2000,"39,130","1,203",3.0
24009,MD,Calvert,2001,"39,753","1,365",3.3
24009,MD,Calvert,2002,"41,158","1,590",3.7
24009,MD,Calvert,2003,"42,685","1,667",3.8
24009,MD,Calvert,2004,"43,409","1,669",3.7
24009,MD,Calvert,2005,"44,389","1,706",3.7
24009,MD,Calvert,2006,"45,730","1,609",3.4
24009,MD,Calvert,2007,"46,452","1,447",3.0
24009,MD,Calvert,2008,"47,401","1,809",3.7
24009,MD,Calvert,2009,"46,058","3,106",6.3
24009,MD,Calvert,2010,"44,522","3,379",7.1
24009,MD,Calvert,2011,"44,595","3,135",6.6
24009,MD,Calvert,2012,"44,781","2,951",6.2
24009,MD,Calvert,2013,"44,952","2,805",5.9
24009,MD,Calvert,2014,"44,735","2,477",5.2
24009,MD,Calvert,2015,"44,875","2,118",4.5
24009,MD,Calvert,2016,"46,930","1,820",3.7
24009,MD,Calvert,2017,"48,289","1,746",3.5
24009,MD,Calvert,2018,"48,881","1,733",3.4
24009,MD,Calvert,2019,"50,214","1,546",3.0
24009,MD,Calvert,2020,"47,420","2,493",5.0
24009,MD,Calvert,2021,"46,746","2,068",4.2
24009,MD,Calvert,2022,"47,891","1,455",2.9
24011,MD,Caroline,2000,"14,798",548,3.6
24011,MD,Caroline,2001,"14,762",744,4.8
24011,MD,Caroline,2002,"15,102",779,4.9
24011,MD,Caroline,2003,"14,746",868,5.6
24011,MD,Caroline,2004,"15,139",814,5.1
24011,MD,Caroline,2005,"15,444",769,4.7
24011,MD,Caroline,2006,"15,417",762,4.7
24011,MD,Caroline,2007,"15,587",726,4.5
24011,MD,Caroline,2008,"15,680",944,5.7
24011,MD,Caroline,2009,"14,954","1,605",9.7
24011,MD,Caroline,2010,"15,803","1,656",9.5
24011,MD,Caroline,2011,"15,967","1,526",8.7
24011,MD,Caroline,2012,"16,272","1,345",7.6
24011,MD,Caroline,2013,"16,464","1,214",6.9
24011,MD,Caroline,2014,"16,332","1,074",6.2
