FIPS_Code,State,Area_Name,Year
24000,MD,Maryland,2000
24000,MD,Maryland,2001
24000,MD,Maryland,2002
24000,MD,Maryland,2003
24000,MD,Maryland,2004
24000,MD,Maryland,2005
24000,MD,Maryland,2006
24000,MD,Maryland,2007
24000,MD,Maryland,2008
24000,MD,Maryland,2009
24000,MD,Maryland,2010
24000,MD,Maryland,2011
24000,MD,Maryland,2012
24000,MD,Maryland,2013
24000,MD,Maryland,2014
24000,MD,Maryland,2015
24000,MD,Maryland,2016
24000,MD,Maryland,2017
24000,MD,Maryland,2018
24000,MD,Maryland,2019
24000,MD,Maryland,2020
24000,MD,Maryland,2021
24000,MD,Maryland,2022
24001,MD,"Allegany County, MD",2000
24001,MD,"Allegany County, MD",2001
24001,MD,"Allegany County, MD",2002
24001,MD,"Allegany County, MD",2003
24001,MD,"Allegany County, MD",2004
24001,MD,"Allegany County, MD",2005
24001,MD,"Allegany County, MD",2006
24001,MD,"Allegany County, MD",2007
24001,MD,"Allegany County, MD",2008
24001,MD,"Allegany County, MD",2009
24001,MD,"Allegany County, MD",2010
24001,MD,"Allegany County, MD",2011
24001,MD,"Allegany County, MD",2012
24001,MD,"Allegany County, MD",2013
24001,MD,"Allegany County, MD",2014
24001,MD,"Allegany County, MD",2015
24001,MD,"Allegany County, MD",2016
24001,MD,"Allegany County, MD",2017
24001,MD,"Allegany County, MD",2018
24001,MD,"Allegany County, MD",2019
24001,MD,"Allegany County, MD",2020
24001,MD,"Allegany County, MD",2021
24001,MD,"Allegany County, MD",2022
24003,MD,"Anne Arundel County, MD",2000
24003,MD,"Anne Arundel County, MD",2001
24003,MD,"Anne Arundel County, MD",2002
24003,MD,"Anne Arundel County, MD",2003
24003,MD,"Anne Arundel County, MD",2004
24003,MD,"Anne Arundel County, MD",2005
24003,MD,"Anne Arundel County, MD",2006
24003,MD,"Anne Arundel County, MD",2007
24003,MD,"Anne Arundel County, MD",2008
24003,MD,"Anne Arundel County, MD",2009
24003,MD,"Anne Arundel County, MD",2010
24003,MD,"Anne Arundel County, MD",2011
24003,MD,"Anne Arundel County, MD",2012
24003,MD,"Anne Arundel County, MD",2013
24003,MD,"Anne Arundel County, MD",2014
24003,MD,"Anne Arundel County, MD",2015
24003,MD,"Anne Arundel County, MD",2016
24003,MD,"Anne Arundel County, MD",2017
24003,MD,"Anne Arundel County, MD",2018
24003,MD,"Anne Arundel County, MD",2019
24003,MD,"Anne Arundel County, MD",2020
24003,MD,"Anne Arundel County, MD",2021
24003,MD,"Anne Arundel County, MD",2022
24005,MD,"Baltimore County, MD",2000
24005,MD,"Baltimore County, MD",2001
24005,MD,"Baltimore County, MD",2002
24005,MD,"Baltimore County, MD",2003
24005,MD,"Baltimore County, MD",2004
24005,MD,"Baltimore County, MD",2005
24005,MD,"Baltimore County, MD",2006
24005,MD,"Baltimore County, MD",2007
24005,MD,"Baltimore County, MD",2008
24005,MD,"Baltimore County, MD",2009
24005,MD,"Baltimore County, MD",2010
24005,MD,"Baltimore County, MD",2011
24005,MD,"Baltimore County, MD",2012
24005,MD,"Baltimore County, MD",2013
24005,MD,"Baltimore County, MD",2014
24005,MD,"Baltimore County, MD",2015
24005,MD,"Baltimore County, MD",2016
24005,MD,"Baltimore County, MD",2017
24005,MD,"Baltimore County, MD",2018
24005,MD,"Baltimore County, MD",2019
24005,MD,"Baltimore County, MD",2020
24005,MD,"Baltimore County, MD",2021
24005,MD,"Baltimore County, MD",2022
24009,MD,"Calvert County, MD",2000
24009,MD,"Calvert County, MD",2001
24009,MD,"Calvert County, MD",2002
24009,MD,"Calvert County, MD",2003
24009,MD,"Calvert County, MD",2004
24009,MD,"Calvert County, MD",2005
24009,MD,"Calvert County, MD",2006
24009,MD,"Calvert County, MD",2007
24009,MD,"Calvert County, MD",2008
24009,MD,"Calvert County, MD",2009
24009,MD,"Calvert County, MD",2010
24009,MD,"Calvert County, MD",2011
24009,MD,"Calvert County, MD",2012
24009,MD,"Calvert County, MD",2013
24009,MD,"Calvert County, MD",2014
24009,MD,"Calvert County, MD",2015
24009,MD,"Calvert County, MD",2016
24009,MD,"Calvert County, MD",2017
24009,MD,"Calvert County, MD",2018
24009,MD,"Calvert County, MD",2019
24009,MD,"Calvert County, MD",2020
24009,MD,"Calvert County, MD",2021
24009,MD,"Calvert County, MD",2022
24011,MD,"Caroline County, MD",2000
24011,MD,"Caroline County, MD",2001
24011,MD,"Caroline County, MD",2002
24011,MD,"Caroline County, MD",2003
24011,MD,"Caroline County, MD",2004
24011,MD,"Caroline County, MD",2005
24011,MD,"Caroline County, MD",2006
24011,MD,"Caroline County, MD",2007
24011,MD,"Caroline County, MD",2008
