FIPS_Code,State,Area_Name,Rural_Urban_Continuum_Code_2013,Urban_Influence_Code_2013,Metro_2013,Year,Value
24000,MD,Maryland,,,,Civilian_labor_force_2000,"2,801,391"
24001,MD,"Allegany County, MD",3.0,2.0,1.0,Civilian_labor_force_2000,"32,861"
24003,MD,"Anne Arundel County, MD",1.0,1.0,1.0,Civilian_labor_force_2000,"267,305"
24005,MD,"Baltimore County, MD",1.0,1.0,1.0,Civilian_labor_force_2000,"407,954"
24009,MD,"Calvert County, MD",1.0,1.0,1.0,Civilian_labor_force_2000,"40,333"
24011,MD,"Caroline County, MD",6.0,4.0,0.0,Civilian_labor_force_2000,"15,346"
24013,MD,"Carroll County, MD",1.0,1.0,1.0,Civilian_labor_force_2000,"83,866"
24015,MD,"Cecil County, MD",1.0,1.0,1.0,Civilian_labor_force_2000,"45,734"
24017,MD,"Charles County, MD",1.0,1.0,1.0,Civilian_labor_force_2000,"65,066"
24019,MD,"Dorchester County, MD",6.0,5.0,0.0,Civilian_labor_force_2000,"15,572"
24021,MD,"Frederick County, MD",1.0,1.0,1.0,Civilian_labor_force_2000,"109,517"
24023,MD,"Garrett County, MD",6.0,7.0,0.0,Civilian_labor_force_2000,"14,501"
24025,MD,"Harford County, MD",1.0,1.0,1.0,Civilian_labor_force_2000,"119,773"
24027,MD,"Howard County, MD",1.0,1.0,1.0,Civilian_labor_force_2000,"144,498"
24029,MD,"Kent County, MD",6.0,4.0,0.0,Civilian_labor_force_2000,"10,056"
24031,MD,"Montgomery County, MD",1.0,1.0,1.0,Civilian_labor_force_2000,"487,315"
24033,MD,"Prince George's County, MD",1.0,1.0,1.0,Civilian_labor_force_2000,"428,841"
24035,MD,"Queen Anne's County, MD",1.0,1.0,1.0,Civilian_labor_force_2000,"22,680"
24037,MD,"St. Mary's County, MD",3.0,2.0,1.0,Civilian_labor_force_2000,"44,305"
24039,MD,"Somerset County, MD",2.0,2.0,1.0,Civilian_labor_force_2000,"10,437"
24041,MD,"Talbot County, MD",6.0,3.0,0.0,Civilian_labor_force_2000,"17,500"
24043,MD,"Washington County, MD",2.0,2.0,1.0,Civilian_labor_force_2000,"66,087"
24045,MD,"Wicomico County, MD",2.0,2.0,1.0,Civilian_labor_force_2000,"46,184"
24047,MD,"Worcester County, MD",2.0,2.0,1.0,Civilian_labor_force_2000,"25,963"
24510,MD,"Baltimore city, MD",1.0,1.0,1.0,Civilian_labor_force_2000,"279,702"
36000,NY,New York,,,,Civilian_labor_force_2000,"9,140,541"
36001,NY,"Albany County, NY",2.0,2.0,1.0,Civilian_labor_force_2000,"154,389"
36003,NY,"Allegany County, NY",7.0,9.0,0.0,Civilian_labor_force_2000,"22,711"
36005,NY,"Bronx County, NY",1.0,1.0,1.0,Civilian_labor_force_2000,"485,706"
36007,NY,"Broome County, NY",2.0,2.0,1.0,Civilian_labor_force_2000,"97,978"
36009,NY,"Cattaraugus County, NY",4.0,3.0,0.0,Civilian_labor_force_2000,"40,965"
36011,NY,"Cayuga County, NY",4.0,5.0,0.0,Civilian_labor_force_2000,"40,294"
36013,NY,"Chautauqua County, NY",4.0,3.0,0.0,Civilian_labor_force_2000,"67,900"
36015,NY,"Chemung County, NY",3.0,2.0,1.0,Civilian_labor_force_2000,"42,647"
36017,NY,"Chenango County, NY",6.0,6.0,0.0,Civilian_labor_force_2000,"24,434"
36019,NY,"Clinton County, NY",5.0,8.0,0.0,Civilian_labor_force_2000,"38,466"
36021,NY,"Columbia County, NY",6.0,3.0,0.0,Civilian_labor_force_2000,"31,424"
36023,NY,"Cortland County, NY",4.0,5.0,0.0,Civilian_labor_force_2000,"24,094"
36025,NY,"Delaware County, NY",6.0,6.0,0.0,Civilian_labor_force_2000,"22,124"
36027,NY,"Dutchess County, NY",1.0,1.0,1.0,Civilian_labor_force_2000,"138,799"
36029,NY,"Erie County, NY",1.0,1.0,1.0,Civilian_labor_force_2000,"466,753"
36031,NY,"Essex County, NY",6.0,6.0,0.0,Civilian_labor_force_2000,"18,486"
36033,NY,"Franklin County, NY",7.0,8.0,0.0,Civilian_labor_force_2000,"22,151"
36035,NY,"Fulton County, NY",4.0,5.0,0.0,Civilian_labor_force_2000,"26,258"
36037,NY,"Genesee County, NY",4.0,3.0,0.0,Civilian_labor_force_2000,"32,509"
36039,NY,"Greene County, NY",6.0,6.0,0.0,Civilian_labor_force_2000,"22,550"
36041,NY,"Hamilton County, NY",8.0,7.0,0.0,Civilian_labor_force_2000,"2,855"
36043,NY,"Herkimer County, NY",2.0,2.0,1.0,Civilian_labor_force_2000,"31,620"
36045,NY,"Jefferson County, NY",3.0,2.0,1.0,Civilian_labor_force_2000,"44,876"
36047,NY,"Kings County, NY",1.0,1.0,1.0,Civilian_labor_force_2000,"1,040,727"
36049,NY,"Lewis County, NY",6.0,6.0,0.0,Civilian_labor_force_2000,"12,669"
36051,NY,"Livingston County, NY",1.0,1.0,1.0,Civilian_labor_force_2000,"32,874"
